94,1583,:),2019-12-13 16:02:36.080833+00
95,1065,thank you,2019-12-13 16:05:19.184482+00
96,1583,Hej,2019-12-13 16:06:12.331007+00
97,1679,Hej,2019-12-13 16:06:19.381271+00
98,1679,Hej!,2019-12-13 16:06:30.080911+00
99,1065,7home,2019-12-13 16:13:29.381177+00
100,1065,kan du säkra dina kyklinghål för ...,2019-12-13 16:27:55.031023+00
101,1065,7home,2019-12-13 16:33:52.980718+00
102,1583,TJA,2019-12-13 18:52:49.530837+00
103,1583,det är nordesh,2019-12-13 18:52:56.680707+00
104,973,Hej Nordesh,2019-12-13 18:54:35.431105+00
105,1583,TJA,2019-12-13 18:54:39.48085+00
106,1583,tja,2019-12-13 18:55:50.183121+00
107,1065,tja,2019-12-13 19:34:41.680964+00
108,973,Halo,2019-12-13 19:34:49.730873+00
109,1065,kan inte köra facetime,2019-12-13 19:35:01.430714+00
110,973,Ok,2019-12-13 19:35:08.980745+00
111,1065,ska jag hugga sand,2019-12-13 19:35:34.730687+00
112,973,Ja tack,2019-12-13 19:35:40.680843+00
113,1065,okeh,2019-12-13 19:35:45.080853+00
114,973,Ganska mycket,2019-12-13 19:36:11.230873+00
115,1065,kan göra lite iallafall,2019-12-13 19:36:31.680735+00
116,973,Ok,2019-12-13 19:36:40.530781+00
117,1065,7home,2019-12-13 19:38:50.13123+00
118,973,LOL,2019-12-13 19:38:59.330873+00
119,1065,we dont need to talk about that,2019-12-13 19:39:01.180898+00
120,973,Haha,2019-12-13 19:39:10.430769+00
121,973,Tack,2019-12-13 19:39:49.434848+00
122,1065,varsågod,2019-12-13 19:39:56.48076+00
123,973,Tack igen,2019-12-13 19:41:23.630911+00
124,1065,behöer du ekträ,2019-12-13 19:41:26.430812+00
125,973,Har fet mycket,2019-12-13 19:41:37.180969+00
126,1065,okej nice,2019-12-13 19:41:42.431118+00
127,973,Mm,2019-12-13 19:41:50.53068+00
128,1065,måste bara på dass kommer snart,2019-12-13 19:41:56.480903+00
129,973,Hi again,2019-12-13 19:47:17.380731+00
130,1065,tja igen,2019-12-13 19:47:19.630688+00
131,1065,hahaah,2019-12-13 19:47:26.430818+00
132,1065,var är du,2019-12-13 19:48:00.980727+00
133,973,I skogen och huger trä,2019-12-13 19:48:16.430919+00
134,1065,vad för trä,2019-12-13 19:48:22.480745+00
135,973,Ek,2019-12-13 19:48:36.830904+00
136,1065,men jag tror jag har en del,2019-12-13 19:48:45.33094+00
137,973,okj,2019-12-13 19:48:52.530773+00
138,1065,jag kan ge dom till dig om du kommer hit,2019-12-13 19:49:23.531007+00
139,973,Bästa,2019-12-13 19:49:49.280886+00
140,1065,tumme upp,2019-12-13 19:49:55.380739+00
141,1065,78home,2019-12-13 19:51:10.532532+00
142,973,RIP,2019-12-13 19:51:27.430792+00
143,1065,va,2019-12-13 19:51:31.180653+00
144,973,Nej jag vet inte,2019-12-13 19:51:39.63062+00
145,1065,om flyget inte åker tillbaka hur ska du då göra,2019-12-13 19:52:36.080765+00
146,973,Jag får åka i efterhand och fixa så att det åker tilbaka,2019-12-13 19:53:03.73063+00
147,1065,okej,2019-12-13 19:53:08.93077+00
148,973,Kommer snart ska bara hämmta vatten,2019-12-13 19:55:26.581133+00
149,1065,jag ska bara ladda om datorn,2019-12-13 19:56:58.58087+00
150,973,Ok,2019-12-13 19:57:02.530694+00
151,1065,har så jävla mycket laggs,2019-12-13 19:57:06.130647+00
152,1065,ska jag hugga mer sand,2019-12-13 20:00:08.980882+00
153,973,Ja tack,2019-12-13 20:00:15.831038+00
154,1065,7home,2019-12-13 20:04:31.339922+00
155,973,Tack,2019-12-13 20:05:25.881381+00
156,1065,:),2019-12-13 20:05:40.480806+00
157,973,Jag har slut på concrete,2019-12-13 20:08:43.531652+00
158,1065,hur får man concrete,2019-12-13 20:09:03.480712+00
159,973,Du måste ha gravel sand och light gray dye,2019-12-13 20:09:29.480641+00
160,1065,ohno,2019-12-13 20:09:37.930822+00
161,973,Vet,2019-12-13 20:09:46.636517+00
162,973,7home,2019-12-13 20:13:14.331146+00
163,1065,hhahahah du med,2019-12-13 20:13:21.930924+00
164,973,Nej jag ville mobba dig,2019-12-13 20:13:37.280767+00
165,1065,:(,2019-12-13 20:13:51.080734+00
166,1065,what is this,2019-12-13 20:17:17.881247+00
167,973,Det ska bli en trappa,2019-12-13 20:17:29.230826+00
168,1065,ja nice,2019-12-13 20:17:34.330735+00
169,973,Vad håller du på med,2019-12-13 20:25:48.631049+00
170,1065,parkour,2019-12-13 20:25:54.230826+00
171,973,Ok,2019-12-13 20:25:57.622846+00
172,973,Måste dra nu,2019-12-13 20:26:03.730777+00
173,1065,7home,2019-12-13 20:26:08.730809+00
174,1065,cool trappa,2019-12-13 20:27:01.482267+00
175,973,Tack,2019-12-13 20:27:06.330724+00
176,1416,halloj,2019-12-14 10:55:39.552267+00
177,1583,Tja skulle bara prova lokes nya skin,2019-12-14 10:55:56.600891+00
178,1583,vill du se,2019-12-14 10:56:02.500592+00
179,1416,okej,2019-12-14 10:56:03.900816+00
180,1416,ja,2019-12-14 10:56:05.80071+00
181,1416,gå till spawn,2019-12-14 10:56:10.400654+00
182,1416,coolt,2019-12-14 10:56:29.700765+00
183,1583,tack säger jag,2019-12-14 10:56:35.800817+00
184,1583,loke alltså,2019-12-14 10:56:39.650672+00
185,1416,haha okej,2019-12-14 10:56:43.15069+00
186,1583,måste leava,2019-12-14 10:57:08.300763+00
187,1416,ok,2019-12-14 10:57:11.250666+00
188,1136,tja,2019-12-14 13:21:26.650898+00
189,918,Halloj,2019-12-14 13:21:29.250757+00
