8352,1837,Hello?,2020-02-02 20:22:21.972797+00
8353,1558,hej,2020-02-02 20:22:26.771423+00
8354,1558,välkommen,2020-02-02 20:22:31.021489+00
8355,1837,Trevligt att träffas,2020-02-02 20:24:10.371714+00
8356,1558,detsamma,2020-02-02 20:24:20.771979+00
8357,1837,Jag använder faktiskt google translate,2020-02-02 20:25:04.971448+00
8358,1558,Ja det förstår jag. :),2020-02-02 20:25:33.071582+00
8359,1558,Vad är du från?,2020-02-02 20:26:00.621568+00
8360,1837,USA,2020-02-02 20:26:22.371423+00
8361,1558,Ahh ok,2020-02-02 20:26:30.221309+00
8362,844,tja spif,2020-02-03 13:15:14.628453+00
8363,1525,Tjenare Ingentinget!,2020-02-03 13:15:24.327697+00
8364,844,såg du mitt meddelande på dc?,2020-02-03 13:15:36.477477+00
8365,1525,Ah såg det när jag vakna idag :). Jag kan unclaima nu,2020-02-03 13:16:26.627749+00
8366,844,yes bra.. :),2020-02-03 13:16:46.077521+00
8367,844,gött,2020-02-03 13:17:20.677929+00
8368,844,så :),2020-02-03 13:17:56.977853+00
8369,1525,Ska dra och käka snabbt så brb,2020-02-03 13:18:10.77746+00
8370,844,hör så,2020-02-03 13:18:14.577365+00
8371,844,gör*,2020-02-03 13:18:18.127764+00
8372,1525,Rip,2020-02-03 14:36:49.877715+00
8373,1065,hej,2020-02-03 14:49:59.77784+00
8374,1065,bsl,2020-02-03 14:50:01.377367+00
8375,1065,sov,2020-02-03 14:53:23.027706+00
8376,820,Tjo,2020-02-03 16:11:34.427556+00
8377,1025,tja opaso,2020-02-03 16:26:16.069932+00
8378,1558,hej,2020-02-03 16:26:19.52296+00
8379,1558,tror server dog lite,2020-02-03 16:47:40.354363+00
8380,1525,När jag logga in?,2020-02-03 16:47:56.103479+00
8381,1558,nä innan. vi åkte ut,2020-02-03 16:48:12.653566+00
8382,1558,eller var du afk?,2020-02-03 16:48:25.853435+00
8383,1525,Jag loggade ut för behövde gå på toa :),2020-02-03 16:48:45.153474+00
8384,1558,jaha ok för servern dog sekunden senare :),2020-02-03 16:49:01.553532+00
8385,1525,Haha okej,2020-02-03 16:49:30.703505+00
8386,1722,tja,2020-02-03 17:24:02.453525+00
8387,1663,sova?,2020-02-03 18:45:55.556476+00
8388,1663,tackar,2020-02-03 19:13:34.153754+00
8389,1525,:),2020-02-03 19:13:46.503354+00
8390,1558,så den är på ny luigi,2020-02-03 20:10:25.803409+00
8391,1558,nu*,2020-02-03 20:10:30.753315+00
8509,1583,nej tack har redan en,2020-02-06 15:37:55.718583+00
8392,1663,når inte riktigt hit tyvärr :/,2020-02-03 20:10:53.35377+00
8393,1558,ok vänta sja flytta,2020-02-03 20:11:05.703573+00
8394,1663,yey,2020-02-03 20:11:10.15334+00
8395,1558,har du någonstans jag kan sätta den?,2020-02-03 20:11:58.703554+00
8396,1663,var som,2020-02-03 20:12:09.703526+00
8397,1663,ska gräva under huset,2020-02-03 20:12:18.655758+00
8398,1663,tomten fixar jag när ja har bättre grejor,2020-02-03 20:12:38.303513+00
8399,1558,ska jag sätta den här uppe bara?,2020-02-03 20:13:43.953541+00
8400,1663,gör de,2020-02-03 20:13:55.654895+00
8401,1558,typ här?,2020-02-03 20:14:07.253493+00
8402,1663,yup,2020-02-03 20:14:10.257869+00
8403,1663,blir nog bra,2020-02-03 20:14:14.253527+00
8404,1663,rike man..,2020-02-03 20:14:28.85355+00
8405,1525,Oj jäklar XD,2020-02-03 20:16:05.053547+00
8406,1558,haha lol,2020-02-03 20:16:11.60341+00
8407,1558,hur fick vi alla den? är vi alla här eller?,2020-02-03 20:16:35.203489+00
8408,1525,Japp,2020-02-03 20:16:42.703311+00
8409,1558,så klart,2020-02-03 20:16:49.00339+00
8410,1663,tackar,2020-02-03 20:16:58.553454+00
8411,1558,men att jag inte fått den hehe..,2020-02-03 20:17:04.103402+00
8412,1558,np,2020-02-03 20:17:06.103372+00
8413,1663,hur kollar ja claim block?,2020-02-03 20:41:14.003654+00
8414,1525,./claimlist,2020-02-03 20:41:27.353462+00
8415,1663,danke,2020-02-03 20:41:32.153459+00
8416,1663,du har inte vit betong?,2020-02-03 20:51:15.603583+00
8417,1525,Det tror jag ej tyvärr,2020-02-03 20:51:46.003658+00
8418,1663,"lungt, nog ingen som har de xD",2020-02-03 20:52:00.208506+00
8419,1525,Sant XD,2020-02-03 20:52:27.953589+00
8420,1663,vet du var det finns vita blommer?,2020-02-03 20:56:36.753997+00
8421,1663,>/home,2020-02-03 20:57:40.4037+00
8422,1525,Brukar finnas i vissa plains bioms. Men dom finns nästan garanterat i flower biom,2020-02-03 20:58:18.103536+00
8423,1663,löste de,2020-02-03 20:58:19.703345+00
8424,1525,Oki :),2020-02-03 20:58:25.90337+00
8425,1663,hade benmjöl,2020-02-03 20:58:42.103468+00
8426,1663,är inte bone meal vit färg mer?,2020-02-03 21:03:22.903634+00
8427,1663,så,2020-02-04 11:43:54.001255+00
8428,1663,du har inte lite quartz trappor?,2020-02-04 12:34:34.049663+00
